experimentUri,uri,name,type
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000057,57/DZ_PG_27/ZM4354/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000056,56/DZ_PG_05/ZM4357/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000055,55/DZ_PG_11/ZM4386/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000054,54/DZ_PG_45/ZM4385/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000053,53/DZ_PG_13/ZM4379/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000052,52/DZ_PG_55/ZM4355/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000051,51/DZ_PG_52/ZM4370/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000050,50/DZ_PG_62/ZM4393/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000049,49/DZ_PG_07/ZM4351/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000048,48/DZ_PG_41/ZM4378/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000047,47/DZ_PG_36/ZM4372/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000046,46/DKC4590/XXXX/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000045,45/DKC4590/XXXX/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000044,44/DZ_PG_34/ZM4384/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000043,43/DZ_PG_39/ZM4371/WW/1/DIA2017-05-19 ,vocabulary:Plot
http://www.opensilex.org/demo/DIA2017-1,http://www.opensilex.org/demo/2018/o18000042,42/DZ_PG_68/ZM4395/WW/1/DIA2017-05-19 ,vocabulary:Plot
